LossBefore,MaxReturn,AverageDiscountedReturn,LossAfter,dLoss,GradNorm,EnvExecTime,Iteration,AverageReturn,Entropy,ProcessExecTime,StdReturn,MinReturn,NumTrajs,KL,PolicyExecTime,KLBefore,TotalEnvSteps
-0.16734234988689423,9.9,-8.19810661806706,-0.16663041710853577,-0.0007119327783584595,0.12288849624842327,10.046139240264893,0,-16.340816326530614,1.5948481559753418,0.7621030807495117,17.011769255758264,-45.500000000000014,490,0.0018154204590246081,29.01469087600708,0.0,30110
-0.16502584517002106,9.8,-8.144656825651486,-0.16627199947834015,0.0012461543083190918,0.09556362455165325,9.921756744384766,1,-16.53836206896552,1.593998670578003,0.7635602951049805,16.51438878591498,-44.50000000000001,464,0.001929022721014917,28.78443217277527,0.0019155694171786308,60234
-0.16325439512729645,9.8,-7.946806924238211,-0.16566619277000427,0.0024117976427078247,0.09635973119190125,9.850726842880249,2,-16.205701754385966,1.5959328413009644,0.753401517868042,16.01005476114649,-45.00000000000001,456,0.0024408919271081686,28.666735410690308,0.0019629669841378927,90353
-0.16324928402900696,9.9,-7.810331430187491,-0.1659730225801468,0.0027237385511398315,0.11621584036713435,9.837935447692871,3,-15.66952789699571,1.5943268537521362,0.7496011257171631,16.127250636169823,-43.00000000000001,466,0.0018693588208407164,28.6555016040802,0.0024729780852794647,120378
-0.16509269177913666,9.9,-7.906693856524221,-0.16568009555339813,0.0005874037742614746,0.10217090344178083,9.830528736114502,4,-15.817543859649126,1.59122896194458,0.7468690872192383,15.511830491448933,-44.00000000000001,456,0.0023582212161272764,28.646857976913452,0.001931732869707048,150402
-0.16625745594501495,9.9,-7.279215191177181,-0.16620422899723053,-5.322694778442383e-05,0.10591232940740229,9.824347019195557,5,-14.861702127659576,1.588958978652954,0.7488300800323486,15.38066143047599,-47.50000000000001,470,0.002004449488595128,28.671789407730103,0.0023530798498541117,180452
-0.1644509881734848,9.700000000000001,-7.571124721794868,-0.16581980884075165,0.0013688206672668457,0.10248807203254924,9.86750316619873,6,-15.08101265822785,1.5844992399215698,0.7509443759918213,15.869050705147433,-47.000000000000014,474,0.0020808465778827667,28.727854251861572,0.0020168826449662447,210564
-0.16479313373565674,9.9,-7.279963935298977,-0.16483812034130096,4.4986605644226074e-05,0.08079008604449485,9.813706874847412,7,-14.940692640692644,1.5840662717819214,0.7473406791687012,15.556348836749534,-47.0,462,0.0020258924923837185,28.662962436676025,0.0021234580781310797,240592
-0.1647498607635498,9.9,-6.082184363028266,-0.16456621885299683,-0.00018364191055297852,0.12596449472983587,5.15608286857605,8,-12.461811023622047,1.5832738876342773,0.39763855934143066,15.3425351269524,-44.00000000000001,508,0.002068468602374196,15.005209922790527,0.0018672740552574396,270685
-0.1639167219400406,9.9,-5.836644937565767,-0.16418147087097168,0.0002647489309310913,0.10745327377690847,5.228990316390991,9,-12.014232209737829,1.5818662643432617,0.40627002716064453,15.718097815649749,-46.50000000000001,534,0.001940345042385161,15.21946120262146,0.0019942899234592915,300843
-0.16169744729995728,9.9,-5.443298469087132,-0.16399477422237396,0.002297326922416687,0.10750883506632974,5.251592397689819,10,-10.597894736842107,1.5819216966629028,0.4028167724609375,15.538106947041253,-48.0,570,0.0015554252313449979,15.091853857040405,0.001853357651270926,330847
-0.1637060046195984,9.9,-5.092207214364605,-0.1630081981420517,-0.0006978064775466919,0.09981280081846335,5.1977927684783936,11,-9.868456375838928,1.5826174020767212,0.3975718021392822,14.911589957710376,-46.50000000000001,596,0.0014909589663147926,14.984461069107056,0.0014876832719892263,360855
-0.1640368103981018,9.9,-4.4689829874851545,-0.16445103287696838,0.00041422247886657715,0.12408892632482776,5.228746175765991,12,-7.527134146341465,1.5797700881958008,0.3963608741760254,13.445947402209352,-55.5,656,0.0016070337733253837,15.049112558364868,0.0013959448551759124,390999
-0.16200922429561615,9.9,-3.28047133763552,-0.1628875732421875,0.0008783489465713501,0.1029621972040833,5.1904003620147705,13,-6.048275862068968,1.5809223651885986,0.392275333404541,13.752546075274477,-43.50000000000001,754,0.0013091163709759712,14.91960072517395,0.001408881857059896,421021
-0.1632404625415802,9.9,-2.136255095974949,-0.1638592779636383,0.0006188154220581055,0.13771558406439416,5.272088289260864,14,-3.426997840172787,1.579170823097229,0.3953418731689453,11.813240048652172,-45.50000000000001,926,0.0010444567305967212,15.03912091255188,0.0011690504616126418,451108
-0.1628057360649109,9.9,-1.2869493535387706,-0.16365006566047668,0.0008443295955657959,0.14685413310896198,5.692655086517334,15,-2.0398076923076927,1.5774720907211304,0.4350857734680176,10.63278547164828,-43.00000000000001,1040,0.0010548561112955213,16.244243383407593,0.0009336969815194607,481205
-0.16380544006824493,9.9,-0.01586713198116822,-0.16336704790592194,-0.00043839216232299805,0.18427663315862056,5.336011648178101,16,0.030803571428571135,1.5760127305984497,0.3967313766479492,8.990199058762702,-51.00000000000001,1344,0.0010787197388708591,15.01866364479065,0.0008456596988253295,511218
-0.16282588243484497,9.9,0.9255380732105788,-0.1617991328239441,-0.001026749610900879,0.1884871712429424,5.3696818351745605,17,1.350546780072904,1.5720181465148926,0.39744019508361816,7.667950790423792,-39.5,1646,0.0011168088531121612,14.971104383468628,0.000933314673602581,541218
-0.1613711714744568,9.9,2.3043374018279086,-0.16169820725917816,0.0003270357847213745,0.1963304584870519,5.46457576751709,18,3.0437328453796897,1.5675140619277954,0.4017462730407715,5.927425485918569,-28.60000000000001,2186,0.001122370595112443,14.985679149627686,0.000957792392000556,571220
