GradNorm,MaxReturn,LossBefore,KLBefore,Entropy,TotalEnvSteps,ProcessExecTime,AverageDiscountedReturn,AverageReturn,LossAfter,dLoss,NumTrajs,StdReturn,KL,EnvExecTime,PolicyExecTime,MinReturn,Iteration
0.13958511508478288,9.9,-0.16849476099014282,0.0,1.5955584049224854,30110,0.4073619842529297,-13.537651570469018,-26.881632653061228,-0.16799204051494598,-0.0005027204751968384,490,23.12492668245973,0.0019263012800365686,5.357931137084961,15.159595966339111,-71.0,0
0.09064489595090595,9.8,-0.1677851527929306,0.0020525152795016766,1.591450810432434,60110,0.3953101634979248,-12.96123118782447,-26.591111111111115,-0.16783373057842255,4.857778549194336e-05,450,21.958156391162845,0.002417308511212468,5.171114921569824,14.73478364944458,-72.0,1
0.1278823265101525,9.9,-0.16539855301380157,0.002555964281782508,1.58895742893219,90267,0.40043044090270996,-12.287700218865913,-25.389047619047624,-0.16604642570018768,0.0006478726863861084,420,19.62971809339869,0.002292474266141653,5.121299982070923,14.678744792938232,-64.0,2
0.12122361985765381,9.9,-0.16573478281497955,0.002583602908998728,1.580920696258545,120279,0.39084815979003906,-13.639660393928128,-29.126775956284156,-0.16696564853191376,0.001230865716934204,366,16.632567105310173,0.0028622401878237724,5.045860767364502,14.480207204818726,-61.99999999999999,3
0.08861369334818728,8.8,-0.1639871746301651,0.0029517672955989838,1.5751254558563232,150460,0.3932209014892578,-12.742158977383413,-28.420114942528738,-0.16543170809745789,0.0014445334672927856,348,14.000188750308316,0.0030929166823625565,5.093386173248291,14.681107997894287,-53.0,4
0.08540578802731842,7.699999999999999,-0.16604457795619965,0.003197633195668459,1.574183702468872,180556,0.39298462867736816,-11.87998902550386,-26.662352941176472,-0.1651894897222519,-0.0008550882339477539,340,12.52980894150931,0.003120179520919919,5.032843828201294,14.60793662071228,-58.000000000000014,5
0.11026070265560822,9.1,-0.16319501399993896,0.00334781501442194,1.5674574375152588,210613,0.41021180152893066,-12.178314686668019,-27.436419753086426,-0.16448967158794403,0.001294657588005066,324,10.48464930898737,0.00295787351205945,5.197298526763916,15.058984994888306,-50.00000000000001,6
0.12437691884209982,5.1,-0.16332997381687164,0.0030031667556613684,1.5605567693710327,240780,0.3875453472137451,-11.963414902041416,-26.715094339622645,-0.16437673568725586,0.0010467618703842163,318,8.284973050663446,0.0030422979034483433,5.003216981887817,14.565498352050781,-41.00000000000001,7
0.11182912031952584,9.9,-0.16395215690135956,0.0031354152597486973,1.5588347911834717,270823,0.3885040283203125,-11.015025637279265,-24.676875000000003,-0.16339147090911865,-0.0005606859922409058,320,8.668839468716387,0.0033719707280397415,4.961453676223755,14.542384147644043,-44.0,8
0.1436364801834031,6.199999999999999,-0.16407844424247742,0.003474906785413623,1.5494722127914429,300825,0.39873671531677246,-11.203273053210205,-25.803947368421053,-0.16367627680301666,-0.0004021674394607544,304,5.505247276569627,0.0032541065011173487,4.998959064483643,14.554704904556274,-46.0,9
0.16397567848457925,9.9,-0.16377030313014984,0.003161318600177765,1.5427391529083252,330946,0.39461445808410645,-10.488517471027047,-24.253896103896103,-0.16354039311408997,-0.0002299100160598755,308,5.9705242772347695,0.0033427465241402388,4.975780010223389,14.50226378440857,-37.0,10
0.1535994253481787,9.0,-0.16246820986270905,0.003376319305971265,1.5356616973876953,361142,0.39275431632995605,-9.814111525282568,-22.568831168831167,-0.1625349372625351,6.67273998260498e-05,308,5.060818673576511,0.003871448803693056,4.950703144073486,14.46371078491211,-31.000000000000004,11
0.17962958901991585,-11.299999999999999,-0.16318349540233612,0.003908449783921242,1.529800534248352,391325,0.4061863422393799,-9.87726331607101,-22.637748344370863,-0.1632319688796997,4.8473477363586426e-05,302,2.3332818521494816,0.003345547243952751,5.058480739593506,14.83529782295227,-30.000000000000007,12
0.1649612810954034,4.900000000000001,-0.16157683730125427,0.003312562359496951,1.5216069221496582,421344,0.39073872566223145,-9.464467184576122,-21.571710526315787,-0.1618378460407257,0.00026100873947143555,304,3.9092908524227994,0.003108066273853183,4.967520236968994,14.563963413238525,-33.00000000000001,13
0.19501907353574005,-5.099999999999996,-0.16170765459537506,0.0030248488765209913,1.5139564275741577,451495,0.3910105228424072,-9.336618452599955,-21.272185430463576,-0.16165243089199066,-5.5223703384399414e-05,302,1.9910780779857467,0.0032243116293102503,4.966241836547852,14.601091146469116,-28.000000000000004,14
0.22338628438480412,-0.09999999999999964,-0.16055546700954437,0.0031807729974389076,1.5086809396743774,481586,0.3916029930114746,-9.01819771919603,-20.82847682119205,-0.15962831676006317,-0.0009271502494812012,302,2.0285504394084795,0.0031792183872312307,4.9334986209869385,14.516729831695557,-25.000000000000004,15
0.2697298209381244,-20.0,-0.15948103368282318,0.0031657840590924025,1.508955955505371,511586,0.38675808906555176,-9.034397915841215,-20.8,-0.1598031371831894,0.00032210350036621094,300,1.0392304845413272,0.0034577795304358006,4.921161651611328,14.47986102104187,-25.000000000000007,16
0.20648602956632947,-20.0,-0.15910258889198303,0.0034794346429407597,1.5060027837753296,541586,0.38727235794067383,-8.918853289603813,-20.566666666666666,-0.15901394188404083,-8.864700794219971e-05,300,0.9410396142328741,0.0033782008104026318,4.901447296142578,14.427521705627441,-26.000000000000007,17
0.169504877687075,-20.0,-0.1574491411447525,0.003401521360501647,1.503389596939087,571586,0.38828325271606445,-8.84234292289397,-20.366666666666667,-0.157218337059021,-0.00023080408573150635,300,0.8595864638818425,0.003244261257350445,4.934593200683594,14.601246118545532,-27.000000000000004,18
