StdReturn,GradNorm,PolicyExecTime,Iteration,Entropy,MinReturn,EnvExecTime,KLBefore,LossBefore,LossAfter,dLoss,TotalEnvSteps,ProcessExecTime,MaxReturn,AverageReturn,AverageDiscountedReturn,NumTrajs,KL
34.00266303909151,0.320867699922657,7.773008108139038,0,1.5863112211227417,96.99999999999997,6.103394508361816,0.0,-0.17880350351333618,-0.17814801633358002,-0.0006554871797561646,7665,0.21062445640563965,226.0,149.4875,88.32232803824874,320,0.0011928618187084794
26.303497747447956,0.3560401519681627,7.509862422943115,1,1.5871883630752563,94.0,5.773319244384766,0.0011331101413816214,-0.1786622852087021,-0.17771221697330475,-0.0009500682353973389,15174,0.20117759704589844,210.99999999999994,147.45250000000001,89.43783010233204,320,0.0010854947613552213
32.90187211530144,0.4055765500390399,7.678217887878418,2,1.5855871438980103,96.99999999999997,5.7785093784332275,0.0011142471339553595,-0.1748906970024109,-0.17728453874588013,0.0023938417434692383,22839,0.20836400985717773,231.0,158.52564102564102,97.72420368245604,312,0.0011403417447581887
29.724673543774212,0.3141083415369816,4.692586898803711,3,1.5869240760803223,89.99999999999999,3.6174957752227783,0.0009930545929819345,-0.1770649403333664,-0.1763802468776703,-0.000684693455696106,30380,0.1270289421081543,237.99999999999997,162.19777777777776,102.40252937448473,360,0.0009997739689424634
30.378366993290072,0.3357350682218224,4.041729211807251,4,1.586203694343567,103.99999999999997,2.967865228652954,0.0010164887644350529,-0.18045742809772491,-0.17743101716041565,-0.003026410937309265,37942,0.11010885238647461,235.0,155.73953488372092,99.46600481596944,344,0.0011353507870808244
33.77596950055585,0.46749896326019463,4.0454041957855225,5,1.5863213539123535,103.99999999999997,3.005479335784912,0.0011138455010950565,-0.17720618844032288,-0.17554186284542084,-0.0016643255949020386,45474,0.11172842979431152,239.0,165.24545454545452,105.74312025726478,352,0.0009356130030937493
26.54201391387184,0.40060537127574164,4.056513786315918,6,1.585455298423767,97.50000000000003,2.9608829021453857,0.0008474866626784205,-0.17695386707782745,-0.1793006956577301,0.002346828579902649,53045,0.11066627502441406,220.4,156.89374999999998,104.41458884764991,384,0.0009559437748976052
25.937267205034527,0.4474572418354635,4.091856241226196,7,1.5845011472702026,98.20000000000002,3.0379042625427246,0.0009000840946100652,-0.1798180341720581,-0.17600663006305695,-0.0038114041090011597,60560,0.11201715469360352,248.99999999999997,166.16666666666666,107.6391421950898,408,0.000902683415915817
26.12661792119293,0.355938197467904,4.028452634811401,8,1.5825783014297485,97.00000000000001,2.915212392807007,0.0009069088264368474,-0.1739477664232254,-0.17482519149780273,0.0008774250745773315,68087,0.11010122299194336,222.99999999999997,160.70600000000002,107.63566893538182,400,0.0008822211530059576
32.49282536191644,0.3774414289436158,4.098742961883545,9,1.5807324647903442,112.80000000000004,3.0169997215270996,0.0009173339931294322,-0.17244675755500793,-0.1763521432876587,0.003905385732650757,75732,0.11063027381896973,259.90000000000003,170.35,111.01567712633567,400,0.0009376271045766771
32.579137434867725,0.4287021894098037,4.0800299644470215,10,1.578882098197937,97.50000000000003,2.9086546897888184,0.0009297674405388534,-0.17855204641819,-0.17745496332645416,-0.0010970830917358398,83313,0.11383366584777832,259.0,158.49800000000002,107.99554153275587,400,0.0009355820366181433
31.095251406305746,0.42581881805509153,4.137093782424927,11,1.5775790214538574,114.90000000000002,2.999079942703247,0.0008905376307666302,-0.18140451610088348,-0.1756862848997116,-0.005718231201171875,90968,0.11501121520996094,287.0,162.70754716981133,110.49587736471625,424,0.0008721781778149307
30.500588775732812,0.4436943992432979,4.083315134048462,12,1.5795924663543701,110.10000000000002,2.9676754474639893,0.0008251653634943068,-0.17083969712257385,-0.17537248134613037,0.0045327842235565186,98552,0.11087584495544434,251.99999999999997,161.94035087719297,112.26349112514427,456,0.0008085809531621635
29.74173605699006,0.4613510966588012,4.117999315261841,13,1.5790828466415405,93.0,2.9864234924316406,0.0007458312902599573,-0.17806170880794525,-0.17695952951908112,-0.0011021792888641357,106146,0.11121630668640137,226.99999999999994,159.15483870967742,110.89591083824743,496,0.0008919667452573776
28.595270234532997,0.37868209921267576,4.03778862953186,14,1.5767455101013184,118.70000000000002,2.9167919158935547,0.0009254003525711596,-0.17870725691318512,-0.1755511313676834,-0.003156125545501709,113647,0.11118245124816895,241.19999999999996,160.99827586206897,111.80164750594543,464,0.0009161445195786655
24.14110463639166,0.4533327176076349,4.092052221298218,15,1.5764471292495728,122.1,2.9242899417877197,0.0008791662403382361,-0.17353935539722443,-0.17533420026302338,0.0017948448657989502,121190,0.11152386665344238,221.99999999999997,159.2830508474576,112.28155186009782,472,0.0007646551239304245
31.600939016832427,0.3900188142404718,4.112827301025391,16,1.5763899087905884,100.70000000000003,2.9437644481658936,0.0007077594054862857,-0.1738663613796234,-0.1764565259218216,0.002590164542198181,128846,0.11109757423400879,258.0,159.31384615384616,114.13616660069067,520,0.0007489905110560358
27.95117491234006,0.38543718875486316,4.0211334228515625,17,1.5747456550598145,103.4,2.8658759593963623,0.0007772822282277048,-0.1702878624200821,-0.1747921109199524,0.0045042484998703,136380,0.10765337944030762,227.79999999999995,158.13870967741934,112.95571547330114,496,0.0007851691334508359
30.187957266439586,0.3311422460057269,4.423164367675781,18,1.5757969617843628,93.30000000000001,3.1413557529449463,0.0007612475310452282,-0.1697254329919815,-0.17252536118030548,0.0027999281883239746,143925,0.1250917911529541,225.40000000000003,160.484126984127,114.43871276739523,504,0.0007064266828820109
