Iteration,AverageDiscountedReturn,KL,KLBefore,NumTrajs,StdReturn,LossAfter,ProcessExecTime,PolicyExecTime,MaxReturn,dLoss,MinReturn,EnvExecTime,LossBefore,TotalEnvSteps,AverageReturn,GradNorm,Entropy
36,-8.79423897871121,0.003275564406067133,0.002853591926395893,300,0.60184900284226,-0.14557167887687683,0.34878039360046387,11.013808488845825,-20.0,0.00021377205848693848,-23.750000000000007,6.437097549438477,-0.1453579068183899,1110842,-20.233333333333334,0.12196228263425042,1.3981683254241943
37,-8.746881894464611,0.0031011675018817186,0.0033432887867093086,300,0.47696960070847283,-0.14662648737430573,0.3608577251434326,11.37950587272644,-20.0,-0.0006391853094100952,-22.5,6.6085429191589355,-0.14726567268371582,1140842,-20.15,0.14259153202109018,1.4024204015731812
38,-8.768873587397827,0.0026019434444606304,0.00310724345035851,300,0.5667279378639771,-0.1459357738494873,0.3486354351043701,11.063985109329224,-20.0,0.0005082190036773682,-23.750000000000004,6.447655916213989,-0.14542755484580994,1170842,-20.208333333333332,0.1570808538550791,1.4021673202514648
39,-8.744807180958444,0.00282426574267447,0.002538911299780011,300,0.5826782035471116,-0.14537762105464935,0.3595008850097656,11.263902187347412,-20.0,0.0002497732639312744,-23.750000000000004,6.572922468185425,-0.14512784779071808,1200842,-20.158333333333335,0.1199353095096969,1.3944647312164307
40,-8.793313620029272,0.0033685588277876377,0.0027911574579775333,300,0.854887906882144,-0.146009162068367,0.35122227668762207,11.07369089126587,-20.0,0.0002464801073074341,-28.75,6.453833818435669,-0.14576268196105957,1230842,-20.2,0.14661420427630373,1.3984968662261963
41,-8.811481118047968,0.003657889785245061,0.003377350978553295,300,0.9546668994413129,-0.14542220532894135,0.34482812881469727,10.84783935546875,-20.0,0.0007045269012451172,-30.000000000000007,6.321022033691406,-0.14471767842769623,1260842,-20.216666666666665,0.148058813483955,1.3999242782592773
42,-8.741474601493511,0.003155878745019436,0.003719788510352373,300,0.47696960070847294,-0.14626865088939667,0.3589301109313965,11.302080869674683,-20.0,-0.0009719282388687134,-22.5,6.543235540390015,-0.14724057912826538,1290842,-20.15,0.174766047773134,1.403964638710022
43,-8.750948413110107,0.0028134030289947987,0.0032086996361613274,300,0.47696960070847283,-0.14587293565273285,0.3437154293060303,10.800971269607544,-20.0,0.0012920498847961426,-23.75,6.310832262039185,-0.1445808857679367,1320842,-20.15,0.14195270022577913,1.4096524715423584
44,-8.740466536235916,0.002915005898103118,0.002847546711564064,300,0.5503155660366352,-0.14686687290668488,0.35639119148254395,11.259986877441406,-20.0,0.0016698092222213745,-23.75,6.562488555908203,-0.1451970636844635,1350842,-20.141666666666666,0.13946153991956978,1.4050788879394531
45,-8.733007292329624,0.0030518891289830208,0.0028743576258420944,300,0.4597704741377911,-0.1468818485736847,0.35364437103271484,11.221573829650879,-20.0,0.001378566026687622,-23.750000000000007,6.540812253952026,-0.14550328254699707,1380842,-20.133333333333333,0.1563447813437134,1.3999239206314087
46,-8.72884501095403,0.0028711173217743635,0.0030668226536363363,300,0.4453463071962463,-0.14496226608753204,0.3533792495727539,11.07429575920105,-20.0,0.0010407119989395142,-23.75,6.474272727966309,-0.14392155408859253,1410842,-20.1,0.18474303416868565,1.3939405679702759
47,-8.756288968424828,0.0034362366423010826,0.0028786049224436283,300,0.48189440982669907,-0.14600689709186554,0.35039782524108887,11.099205017089844,-20.0,0.0010704398155212402,-23.750000000000007,6.476953506469727,-0.1449364572763443,1440842,-20.133333333333333,0.18845677077343564,1.396921992301941
48,-8.731044896094138,0.002812829567119479,0.0034217590000480413,300,0.4018187817080398,-0.14506295323371887,0.350369930267334,11.138098955154419,-20.0,-8.015334606170654e-05,-22.5,6.482229948043823,-0.14514310657978058,1470842,-20.125,0.15119143085071868,1.39735746383667
49,-8.737519047975029,0.0031986096873879433,0.0027935183607041836,300,0.6044395935262864,-0.14573031663894653,0.3565053939819336,11.314197063446045,-20.0,-0.00024107098579406738,-25.0,6.597044944763184,-0.1459713876247406,1500842,-20.141666666666666,0.1753195186483202,1.3919570446014404
50,-8.719551707422303,0.0032628346234560013,0.0031724299769848585,300,0.4018187817080399,-0.14566634595394135,0.3465914726257324,10.955476999282837,-20.0,0.0006109327077865601,-22.500000000000004,6.376198768615723,-0.14505541324615479,1530842,-20.125,0.1431974171195505,1.3951611518859863
51,-8.731032827955751,0.0035871504805982113,0.003273602342233062,300,0.5762064637687515,-0.1450798213481903,0.35356855392456055,11.202831506729126,-20.0,-2.6434659957885742e-05,-26.250000000000007,6.531962156295776,-0.1451062560081482,1560842,-20.108333333333334,0.18110550581032436,1.3939156532287598
52,-8.774810650295676,0.003172502852976322,0.003590355161577463,300,0.6400954789890507,-0.1460842490196228,0.34319329261779785,10.945770502090454,-20.0,-3.166496753692627e-05,-26.25,6.342087507247925,-0.14611591398715973,1590842,-20.166666666666668,0.14298612422272355,1.393985390663147
53,-8.71033933006437,0.003274754388257861,0.003224192187190056,300,0.4140752749601618,-0.14486923813819885,0.3566274642944336,11.20675015449524,-20.0,0.00018428266048431396,-23.750000000000004,6.521770000457764,-0.14468495547771454,1620842,-20.075,0.15466804530784975,1.3948798179626465
