NumTrajs,AverageReturn,Iteration,AverageDiscountedReturn,KLBefore,Entropy,MaxReturn,StdReturn,TotalEnvSteps,PolicyExecTime,LossBefore,MinReturn,LossAfter,dLoss,EnvExecTime,ProcessExecTime,GradNorm,KL
490,-16.340816326530614,0,-8.19810661806706,0.0,1.5948481559753418,9.9,17.011769255758264,30110,15.429916620254517,-0.16734234988689423,-45.500000000000014,-0.16663041710853577,-0.0007119327783584595,5.366505861282349,0.4122171401977539,0.12288849624842327,0.0018154204590246081
464,-16.53836206896552,1,-8.144656825651486,0.0019155694171786308,1.593998670578003,9.8,16.51438878591498,60234,15.410281419754028,-0.16502584517002106,-44.50000000000001,-0.16627199947834015,0.0012461543083190918,5.344154119491577,0.4177994728088379,0.09556362455165325,0.001929022721014917
456,-16.205701754385966,2,-7.946806924238211,0.0019629669841378927,1.5959328413009644,9.8,16.01005476114649,90353,15.20602798461914,-0.16325439512729645,-45.00000000000001,-0.16566619277000427,0.0024117976427078247,5.2467286586761475,0.40888309478759766,0.09635973119190125,0.0024408919271081686
466,-15.66952789699571,3,-7.810331430187491,0.0024729780852794647,1.5943268537521362,9.9,16.127250636169823,120378,15.00767183303833,-0.16324928402900696,-43.00000000000001,-0.1659730225801468,0.0027237385511398315,5.176538467407227,0.40435099601745605,0.11621584036713435,0.0018693588208407164
456,-15.817543859649126,4,-7.906693856524221,0.001931732869707048,1.59122896194458,9.9,15.511830491448933,150402,15.120988607406616,-0.16509269177913666,-44.00000000000001,-0.16568009555339813,0.0005874037742614746,5.217249631881714,0.406033992767334,0.10217090344178083,0.0023582212161272764
470,-14.861702127659576,5,-7.279215191177181,0.0023530798498541117,1.588958978652954,9.9,15.38066143047599,180452,15.136671781539917,-0.16625745594501495,-47.50000000000001,-0.16620422899723053,-5.322694778442383e-05,5.21926736831665,0.40930891036987305,0.10591232940740229,0.002004449488595128
474,-15.08101265822785,6,-7.571124721794868,0.0020168826449662447,1.5844992399215698,9.700000000000001,15.869050705147433,210564,15.115833044052124,-0.1644509881734848,-47.000000000000014,-0.16581980884075165,0.0013688206672668457,5.22491979598999,0.4033505916595459,0.10248807203254924,0.0020808465778827667
462,-14.940692640692644,7,-7.279963935298977,0.0021234580781310797,1.5840662717819214,9.9,15.556348836749534,240592,15.090676069259644,-0.16479313373565674,-47.0,-0.16483812034130096,4.4986605644226074e-05,5.188490867614746,0.40755391120910645,0.08079008604449485,0.0020258924923837185
508,-12.461811023622047,8,-6.082184363028266,0.0018672740552574396,1.5832738876342773,9.9,15.3425351269524,270685,15.163127183914185,-0.1647498607635498,-44.00000000000001,-0.16456621885299683,-0.00018364191055297852,5.206263303756714,0.4063990116119385,0.12596449472983587,0.002068468602374196
534,-12.014232209737829,9,-5.836644937565767,0.0019942899234592915,1.5818662643432617,9.9,15.718097815649749,300843,15.277640104293823,-0.1639167219400406,-46.50000000000001,-0.16418147087097168,0.0002647489309310913,5.24841046333313,0.410994291305542,0.10745327377690847,0.001940345042385161
570,-10.597894736842107,10,-5.443298469087132,0.001853357651270926,1.5819216966629028,9.9,15.538106947041253,330847,15.058608770370483,-0.16169744729995728,-48.0,-0.16399477422237396,0.002297326922416687,5.227577447891235,0.4074552059173584,0.10750883506632974,0.0015554252313449979
596,-9.868456375838928,11,-5.092207214364605,0.0014876832719892263,1.5826174020767212,9.9,14.911589957710376,360855,15.10107421875,-0.1637060046195984,-46.50000000000001,-0.1630081981420517,-0.0006978064775466919,5.258402585983276,0.4089794158935547,0.09981280081846335,0.0014909589663147926
656,-7.527134146341465,12,-4.4689829874851545,0.0013959448551759124,1.5797700881958008,9.9,13.445947402209352,390999,15.200311183929443,-0.1640368103981018,-55.5,-0.16445103287696838,0.00041422247886657715,5.288560628890991,0.4074680805206299,0.12408892632482776,0.0016070337733253837
754,-6.048275862068968,13,-3.28047133763552,0.001408881857059896,1.5809223651885986,9.9,13.752546075274477,421021,15.068277359008789,-0.16200922429561615,-43.50000000000001,-0.1628875732421875,0.0008783489465713501,5.260633230209351,0.404956579208374,0.1029621972040833,0.0013091163709759712
926,-3.426997840172787,14,-2.136255095974949,0.0011690504616126418,1.579170823097229,9.9,11.813240048652172,451108,15.094404697418213,-0.1632404625415802,-45.50000000000001,-0.1638592779636383,0.0006188154220581055,5.308657884597778,0.4070718288421631,0.13771558406439416,0.0010444567305967212
1040,-2.0398076923076927,15,-1.2869493535387706,0.0009336969815194607,1.5774720907211304,9.9,10.63278547164828,481205,15.16690707206726,-0.1628057360649109,-43.00000000000001,-0.16365006566047668,0.0008443295955657959,5.351390600204468,0.40247201919555664,0.14685413310896198,0.0010548561112955213
1344,0.030803571428571135,16,-0.01586713198116822,0.0008456596988253295,1.5760127305984497,9.9,8.990199058762702,511218,15.15273904800415,-0.16380544006824493,-51.00000000000001,-0.16336704790592194,-0.00043839216232299805,5.408452749252319,0.40419721603393555,0.18427663315862056,0.0010787197388708591
1646,1.350546780072904,17,0.9255380732105788,0.000933314673602581,1.5720181465148926,9.9,7.667950790423792,541218,15.141349792480469,-0.16282588243484497,-39.5,-0.1617991328239441,-0.001026749610900879,5.462783098220825,0.4067659378051758,0.1884871712429424,0.0011168088531121612
2186,3.0437328453796897,18,2.3043374018279086,0.000957792392000556,1.5675140619277954,9.9,5.927425485918569,571220,15.246544122695923,-0.1613711714744568,-28.60000000000001,-0.16169820725917816,0.0003270357847213745,5.558812618255615,0.4092123508453369,0.1963304584870519,0.001122370595112443
2862,4.237735849056604,19,3.4231456590046703,0.000998405972495675,1.5606944561004639,9.9,4.779295424518395,601253,15.419648170471191,-0.15984848141670227,-24.6,-0.15859998762607574,-0.0012484937906265259,5.715229272842407,0.4246938228607178,0.2608207361979138,0.0012551323743537068
3420,4.993333333333335,20,4.187630379075108,0.0011891332687810063,1.5529186725616455,9.9,4.071794581153513,631277,14.833933591842651,-0.15566439926624298,-17.800000000000004,-0.1553514003753662,-0.00031299889087677,5.576050043106079,0.41194987297058105,0.28869382581067066,0.0009487694478593767
4154,5.795907558979298,21,5.030506549989155,0.0008741020574234426,1.541035771369934,9.9,3.4107716321597876,661291,14.933871984481812,-0.1503121554851532,-12.200000000000005,-0.15089666843414307,0.0005845129489898682,5.661120653152466,0.4232621192932129,0.29848682298614243,0.001435261918231845
4746,6.329709228824274,22,5.601559275052295,0.0013954400783404708,1.5248522758483887,9.9,2.8699098290784026,691292,14.868934631347656,-0.14956268668174744,-8.300000000000002,-0.14805445075035095,-0.0015082359313964844,5.673255920410156,0.4230656623840332,0.3943365776000303,0.0016824385384097695
5406,6.722863485016648,23,6.035981936872074,0.0016492860158905387,1.511707067489624,9.9,2.5044072906388637,721303,15.081022500991821,-0.1392882913351059,-10.100000000000007,-0.14288201928138733,0.003593727946281433,5.793723821640015,0.43595433235168457,0.475252204202291,0.001101072528399527
5918,7.1294356201419395,24,6.479790140961464,0.001070982194505632,1.4827650785446167,9.9,2.23231710587861,751313,15.028661489486694,-0.14012524485588074,-8.800000000000002,-0.13925740122795105,-0.0008678436279296875,5.780891418457031,0.4390392303466797,0.34500730950500985,0.002778024645522237
6546,7.42703941338222,25,6.818640230424307,0.002760733710601926,1.4493991136550903,9.9,1.9724079752608215,781321,15.072454929351807,-0.13126535713672638,-3.5999999999999996,-0.13172276318073273,0.00045740604400634766,5.847254276275635,0.4431025981903076,0.35350380256480807,0.0028453220147639513
7150,7.707916083916085,26,7.133626540335439,0.0028359408024698496,1.4140467643737793,9.9,1.7476510489117345,811328,15.042953252792358,-0.12519954144954681,-6.9,-0.12674377858638763,0.0015442371368408203,5.843349933624268,0.4467644691467285,0.37875005797105404,0.002475225366652012
7648,7.909100418410042,27,7.362618202530807,0.002467628102749586,1.3685394525527954,9.9,1.621635824480428,841329,15.027285099029541,-0.12037838995456696,-2.299999999999997,-0.12075943499803543,0.00038104504346847534,5.863603353500366,0.46004366874694824,0.34944258455028926,0.003411744488403201
8142,8.07725374600835,28,7.558284690067216,0.0034074243158102036,1.3094054460525513,9.9,1.496941424149555,871329,15.301626443862915,-0.11612217873334885,-1.2999999999999972,-0.11640799790620804,0.0002858191728591919,5.986839532852173,0.48299622535705566,0.42932063381411517,0.004220169968903065
8648,8.273057354301574,29,7.775008434752537,0.00421602139249444,1.2431548833847046,9.9,1.2851974423101922,901337,14.984146356582642,-0.11020786315202713,-0.29999999999999716,-0.11080104857683182,0.0005931854248046875,5.8810999393463135,0.46450304985046387,0.5073635451140633,0.004418878350406885
9026,8.412962552625748,30,7.932903585065067,0.004418557044118643,1.1777384281158447,9.9,1.2064924899157974,931340,15.06505012512207,-0.10486363619565964,0.5000000000000018,-0.1035279929637909,-0.001335643231868744,5.926091432571411,0.4601767063140869,0.33874544615944574,0.0035927186254411936
9434,8.545431418274328,31,8.083224779138655,0.003589894622564316,1.1227225065231323,9.9,1.125651913163483,961347,15.040096759796143,-0.09758022427558899,-1.4999999999999964,-0.0983869656920433,0.0008067414164543152,5.897127866744995,0.4653470516204834,0.45920623972435864,0.0024475809186697006
9592,8.617160133444537,32,8.159640411374015,0.002446061000227928,1.0591135025024414,9.9,1.0645667086235475,991353,15.058410882949829,-0.09607694298028946,0.3000000000000025,-0.09505076706409454,-0.0010261759161949158,5.924565553665161,0.4667017459869385,0.395011682037461,0.002911325078457594
9978,8.714391661655643,33,8.272232288135315,0.002908760216087103,1.0164494514465332,9.9,0.9838245470434391,1021367,15.035799741744995,-0.09001632034778595,1.5000000000000018,-0.09062894433736801,0.0006126239895820618,5.914852142333984,0.4678812026977539,0.4275929206227598,0.0013301841681823134
10264,8.783008573655495,34,8.352451071862168,0.0013257365208119154,0.9619132280349731,9.9,0.918023218921985,1051368,14.942121267318726,-0.08605632930994034,3.4000000000000012,-0.08552107959985733,-0.0005352497100830078,5.890707492828369,0.47101664543151855,0.35867332227151294,0.0019424431957304478
10546,8.851033567229281,35,8.431949142070488,0.0019401715835556388,0.9197945594787598,9.9,0.8781474633523181,1081368,15.211525440216064,-0.07965584099292755,3.200000000000002,-0.08208896219730377,0.0024331212043762207,6.00400185585022,0.4837508201599121,0.5483567837896286,0.0011697415029630065
10684,8.927779857731187,36,8.511476512147619,0.0011691957479342818,0.8641422986984253,9.9,0.820476602313768,1111371,15.001070976257324,-0.07914920151233673,2.5000000000000027,-0.07878507673740387,-0.00036412477493286133,5.9189980030059814,0.47161388397216797,0.5118818184600404,0.002062977524474263
