PolicyExecTime,StdReturn,MaxReturn,dLoss,EnvExecTime,TotalEnvSteps,AverageDiscountedReturn,AverageReturn,LossBefore,KLBefore,GradNorm,ProcessExecTime,KL,Iteration,NumTrajs,LossAfter,MinReturn,Entropy
28.919527769088745,17.011769255758264,9.9,-0.0007119327783584595,9.900660753250122,30110,-8.19810661806706,-16.340816326530614,-0.16734234988689423,0.0,0.12288849624842327,0.7574591636657715,0.0018154204590246081,0,490,-0.16663041710853577,-45.500000000000014,1.5948481559753418
28.754130840301514,16.51438878591498,9.8,0.0012461543083190918,9.844966650009155,60234,-8.144656825651486,-16.53836206896552,-0.16502584517002106,0.0019155694171786308,0.09556362455165325,0.7535333633422852,0.001929022721014917,1,464,-0.16627199947834015,-44.50000000000001,1.593998670578003
28.721988677978516,16.01005476114649,9.8,0.0024117976427078247,9.777059555053711,90353,-7.946806924238211,-16.205701754385966,-0.16325439512729645,0.0019629669841378927,0.09635973119190125,0.7493832111358643,0.0024408919271081686,2,456,-0.16566619277000427,-45.00000000000001,1.5959328413009644
28.63148307800293,16.127250636169823,9.9,0.0027237385511398315,9.750658512115479,120378,-7.810331430187491,-15.66952789699571,-0.16324928402900696,0.0024729780852794647,0.11621584036713435,0.7449016571044922,0.0018693588208407164,3,466,-0.1659730225801468,-43.00000000000001,1.5943268537521362
14.986985206604004,15.511830491448933,9.9,0.0005874037742614746,5.102038860321045,150402,-7.906693856524221,-15.817543859649126,-0.16509269177913666,0.001931732869707048,0.10217090344178083,0.3903987407684326,0.0023582212161272764,4,456,-0.16568009555339813,-44.00000000000001,1.59122896194458
14.93460726737976,15.38066143047599,9.9,-5.322694778442383e-05,5.087031364440918,180452,-7.279215191177181,-14.861702127659576,-0.16625745594501495,0.0023530798498541117,0.10591232940740229,0.39499807357788086,0.002004449488595128,5,470,-0.16620422899723053,-47.50000000000001,1.588958978652954
15.024672269821167,15.869050705147433,9.700000000000001,0.0013688206672668457,5.130929470062256,210564,-7.571124721794868,-15.08101265822785,-0.1644509881734848,0.0020168826449662447,0.10248807203254924,0.39723825454711914,0.0020808465778827667,6,474,-0.16581980884075165,-47.000000000000014,1.5844992399215698
14.93014121055603,15.556348836749534,9.9,4.4986605644226074e-05,5.070117950439453,240592,-7.279963935298977,-14.940692640692644,-0.16479313373565674,0.0021234580781310797,0.08079008604449485,0.3925652503967285,0.0020258924923837185,7,462,-0.16483812034130096,-47.0,1.5840662717819214
15.031418561935425,15.3425351269524,9.9,-0.00018364191055297852,5.099633693695068,270685,-6.082184363028266,-12.461811023622047,-0.1647498607635498,0.0018672740552574396,0.12596449472983587,0.3953390121459961,0.002068468602374196,8,508,-0.16456621885299683,-44.00000000000001,1.5832738876342773
17.044129610061646,15.718097815649749,9.9,0.0002647489309310913,5.785943269729614,300843,-5.836644937565767,-12.014232209737829,-0.1639167219400406,0.0019942899234592915,0.10745327377690847,0.44658803939819336,0.001940345042385161,9,534,-0.16418147087097168,-46.50000000000001,1.5818662643432617
14.993987321853638,15.538106947041253,9.9,0.002297326922416687,5.139872789382935,330847,-5.443298469087132,-10.597894736842107,-0.16169744729995728,0.001853357651270926,0.10750883506632974,0.40050697326660156,0.0015554252313449979,10,570,-0.16399477422237396,-48.0,1.5819216966629028
15.011080265045166,14.911589957710376,9.9,-0.0006978064775466919,5.14995002746582,360855,-5.092207214364605,-9.868456375838928,-0.1637060046195984,0.0014876832719892263,0.09981280081846335,0.39903903007507324,0.0014909589663147926,11,596,-0.1630081981420517,-46.50000000000001,1.5826174020767212
15.025867223739624,13.445947402209352,9.9,0.00041422247886657715,5.160595417022705,390999,-4.4689829874851545,-7.527134146341465,-0.1640368103981018,0.0013959448551759124,0.12408892632482776,0.39334702491760254,0.0016070337733253837,12,656,-0.16445103287696838,-55.5,1.5797700881958008
14.834973096847534,13.752546075274477,9.9,0.0008783489465713501,5.116837024688721,421021,-3.28047133763552,-6.048275862068968,-0.16200922429561615,0.001408881857059896,0.1029621972040833,0.39089274406433105,0.0013091163709759712,13,754,-0.1628875732421875,-43.50000000000001,1.5809223651885986
14.971017599105835,11.813240048652172,9.9,0.0006188154220581055,5.191076278686523,451108,-2.136255095974949,-3.426997840172787,-0.1632404625415802,0.0011690504616126418,0.13771558406439416,0.3932516574859619,0.0010444567305967212,14,926,-0.1638592779636383,-45.50000000000001,1.579170823097229
14.975013256072998,10.63278547164828,9.9,0.0008443295955657959,5.221692085266113,481205,-1.2869493535387706,-2.0398076923076927,-0.1628057360649109,0.0009336969815194607,0.14685413310896198,0.39725494384765625,0.0010548561112955213,15,1040,-0.16365006566047668,-43.00000000000001,1.5774720907211304
14.974299192428589,8.990199058762702,9.9,-0.00043839216232299805,5.267074346542358,511218,-0.01586713198116822,0.030803571428571135,-0.16380544006824493,0.0008456596988253295,0.18427663315862056,0.3964855670928955,0.0010787197388708591,16,1344,-0.16336704790592194,-51.00000000000001,1.5760127305984497
14.85827112197876,7.667950790423792,9.9,-0.001026749610900879,5.28181529045105,541218,0.9255380732105788,1.350546780072904,-0.16282588243484497,0.000933314673602581,0.1884871712429424,0.3906254768371582,0.0011168088531121612,17,1646,-0.1617991328239441,-39.5,1.5720181465148926
14.876768350601196,5.927425485918569,9.9,0.0003270357847213745,5.357732534408569,571220,2.3043374018279086,3.0437328453796897,-0.1613711714744568,0.000957792392000556,0.1963304584870519,0.39491868019104004,0.001122370595112443,18,2186,-0.16169820725917816,-28.60000000000001,1.5675140619277954
