Iteration,dLoss,LossAfter,KLBefore,Entropy,MaxReturn,LossBefore,MinReturn,EnvExecTime,TotalEnvSteps,AverageReturn,KL,GradNorm,StdReturn,AverageDiscountedReturn,PolicyExecTime,NumTrajs,ProcessExecTime
0,-0.003062725067138672,-0.1778620332479477,0.0,1.585558295249939,70.7,-0.18092475831508636,10.000000000000002,3.3795204162597656,7665,42.087500000000006,0.0011559755075722933,0.33057254840713135,13.345264843756382,26.640073470965056,4.448682546615601,320,0.12035012245178223
1,0.0015788376331329346,-0.17763660848140717,0.0011471186298877,1.584198236465454,69.9,-0.17605777084827423,10.00000000000001,3.4581751823425293,15254,42.27750000000001,0.0011313959257677197,0.3868213970078666,14.179553721820724,28.429148020446412,4.566616773605347,320,0.1253666877746582
2,0.0028889328241348267,-0.1767001897096634,0.001106934854760766,1.5826390981674194,71.8,-0.17381125688552856,3.552713678800501e-15,3.622779369354248,22826,44.94634146341464,0.0010685465531423688,0.38703272317909687,15.704902101883478,29.535435424286202,4.820111274719238,328,0.13227534294128418
3,0.0013325512409210205,-0.17651404440402985,0.0010372600518167019,1.5834834575653076,71.39999999999999,-0.17518149316310883,30.0,3.0554418563842773,30431,49.98809523809524,0.0010215648217126727,0.43992763408675006,11.823366742759305,35.62489891502738,4.3374183177948,336,0.11475729942321777
4,0.0010356903076171875,-0.17522813379764557,0.0010089195566251874,1.5816576480865479,76.2,-0.17419244349002838,20.000000000000014,3.0865252017974854,38008,50.530952380952385,0.0009772379416972399,0.353213667138007,12.55696520993216,34.74259641031087,4.2724082469940186,336,0.11484241485595703
5,-0.0011834651231765747,-0.17987580597400665,0.0009271964081563056,1.581537127494812,72.10000000000001,-0.18105927109718323,29.999999999999993,2.975843906402588,45590,50.972093023255816,0.0011299267644062638,0.40534770198248016,12.923933550198688,38.28374742942605,4.275042533874512,344,0.11448812484741211
6,0.0007607787847518921,-0.17801955342292786,0.0011130089405924082,1.580133318901062,74.80000000000001,-0.17725877463817596,30.000000000000007,2.9024178981781006,53286,53.87272727272727,0.0011582738952711225,0.43805651937638496,10.988348449739503,38.74112935691219,4.199477672576904,352,0.11222004890441895
7,0.0025382786989212036,-0.17794452607631683,0.0010095699690282345,1.5798171758651733,74.70000000000005,-0.17540624737739563,20.000000000000007,2.9775283336639404,60824,58.5529411764706,0.0009947385406121612,0.445622143519896,13.369299818015556,42.019792875586596,4.16641902923584,408,0.1106574535369873
8,-0.0027526021003723145,-0.1781919300556183,0.0009952624095603824,1.5760806798934937,76.0,-0.1809445321559906,39.99999999999998,2.9085631370544434,68486,58.85306122448979,0.0010004356736317277,0.44912396077880173,11.133477774873336,42.40044343148585,4.202680587768555,392,0.11091351509094238
9,0.0006774961948394775,-0.17762115597724915,0.0009769572643563151,1.5750129222869873,73.90000000000003,-0.17694365978240967,40.00000000000001,3.1102752685546875,76160,61.251999999999995,0.0010983427055180073,0.47627932764329284,9.142105665545545,44.87052542524659,4.627506494522095,400,0.12432289123535156
10,0.0005928128957748413,-0.17746666073799133,0.0009507311624474823,1.5759263038635254,76.0,-0.1768738478422165,30.000000000000018,2.9815142154693604,83691,65.20169491525424,0.0008370681316591799,0.4259394009229226,9.039358225408611,48.51039234839434,4.391276836395264,472,0.11807775497436523
11,0.0008562654256820679,-0.17832863330841064,0.0008497130475006998,1.5735068321228027,78.20000000000002,-0.17747236788272858,30.000000000000007,2.9172170162200928,91283,63.87368421052632,0.0009106282377615571,0.44608656709433625,10.1005215483855,48.05288802363025,4.332109451293945,456,0.11487364768981934
12,-0.0002860724925994873,-0.17820796370506287,0.0007867158856242895,1.5730160474777222,76.50000000000001,-0.17849403619766235,49.99999999999997,3.2292487621307373,98837,68.47246376811592,0.0007543512037955225,0.4007788731049421,5.9447427525179615,50.78483639515449,4.609144926071167,552,0.12139248847961426
13,0.002575695514678955,-0.17675864696502686,0.0006948349182493985,1.574111819267273,77.80000000000001,-0.1741829514503479,49.99999999999999,2.896824598312378,106384,69.5310810810811,0.000682990939822048,0.35498880671109584,5.384911996462163,52.44131522671687,4.1172308921813965,592,0.10707306861877441
14,-0.0008825063705444336,-0.17773135006427765,0.0006624601082876325,1.572987675666809,76.8,-0.17861385643482208,50.0,2.9152450561523438,113884,69.87012987012987,0.0007269485504366457,0.37896428756078987,5.375921906684483,53.12503282246755,4.161035776138306,616,0.10546588897705078
15,-0.001954898238182068,-0.17444254457950592,0.0006578624015673995,1.5746698379516602,78.10000000000002,-0.176397442817688,49.999999999999986,2.8259336948394775,121426,70.55180722891566,0.0005597728304564953,0.41890315458181215,5.383360383912665,54.82881653109944,4.051149845123291,664,0.10248851776123047
16,-0.0021691322326660156,-0.17368225753307343,0.0005773575394414365,1.5732420682907104,77.5,-0.17585138976573944,49.99999999999999,2.831249952316284,129003,70.63012048192772,0.0005478823441080749,0.37075071175881025,5.035960681487113,54.610884862039875,4.067019939422607,664,0.1021122932434082
17,0.007443353533744812,-0.17460331320762634,0.0005304341320879757,1.5741981267929077,78.00000000000001,-0.16715995967388153,50.0,2.8593673706054688,136553,71.1046511627907,0.0005331725697033107,0.5351561741723418,3.987740135708516,54.90903798038809,4.066364049911499,688,0.10172033309936523
18,-0.00319884717464447,-0.1741531640291214,0.0005269370158202946,1.5733792781829834,77.00000000000003,-0.17735201120376587,49.99999999999999,2.8829290866851807,144070,71.24482758620692,0.000585423200391233,0.38901001389875384,3.9190591945355364,54.83125790624548,4.070646524429321,696,0.10112357139587402
19,0.0032434016466140747,-0.17575502395629883,0.0005968000623397529,1.5705809593200684,78.7,-0.17251162230968475,49.99999999999999,2.8406732082366943,151676,70.91264367816093,0.0007554670446552336,0.5474712975906008,5.258355247367519,55.753028943310504,4.077274560928345,696,0.10216450691223145
20,0.0035963207483291626,-0.17120563983917236,0.0006663122330792248,1.5713589191436768,77.2,-0.1676093190908432,62.699999999999996,2.9107770919799805,159198,72.69708737864077,0.00045821614912711084,0.4456224508436689,3.0827883076277844,57.79921410102255,4.061133623123169,824,0.10232400894165039
21,-0.0006526261568069458,-0.17443181574344635,0.0004532901511993259,1.5666550397872925,78.2,-0.1750844419002533,63.29999999999999,2.8755042552948,166728,72.75961538461539,0.0007594261551275849,0.43099613375377016,2.858372292015749,58.530251809747284,4.074291467666626,832,0.10283422470092773
22,0.0016383081674575806,-0.17222197353839874,0.0007341168238781393,1.566405177116394,78.69999999999999,-0.17058366537094116,50.000000000000014,2.94054913520813,174301,73.02454545454547,0.0005313870497047901,0.4638105956248449,3.4619276386439197,59.05773854561324,4.126615047454834,880,0.10222601890563965
23,-0.0005242079496383667,-0.17151665687561035,0.0004973170580342412,1.567150592803955,78.30000000000001,-0.17204086482524872,63.19999999999999,3.0094621181488037,181891,73.72727272727275,0.000420003809267655,0.39435545074305206,2.6388076445857167,59.543228934928564,4.113795518875122,968,0.10349082946777344
24,-0.00466136634349823,-0.1726422756910324,0.0004241841961629689,1.56315279006958,78.4,-0.17730364203453064,49.99999999999999,2.945183515548706,189391,73.55932203389833,0.0005784426466561854,0.511996144683505,3.295354647412995,59.59232189627876,4.065735816955566,944,0.10376715660095215
25,-0.00391116738319397,-0.17180167138576508,0.0006065717316232622,1.5634748935699463,78.60000000000001,-0.17571283876895905,49.99999999999999,2.900784492492676,196925,72.83888888888889,0.00047139544039964676,0.478723447533755,4.430425807922558,59.16717070684413,4.083002805709839,864,0.10310888290405273
26,-0.0033602863550186157,-0.17306013405323029,0.00043696939246729016,1.5662978887557983,78.2,-0.1764204204082489,49.99999999999999,3.0152313709259033,204450,73.59243697478993,0.000547299103345722,0.4428395590553136,3.5021280364719676,60.561663691541575,4.226063966751099,952,0.11052870750427246
