StdReturn,PolicyExecTime,ProcessExecTime,Entropy,EnvExecTime,GradNorm,AverageReturn,LossBefore,Iteration,dLoss,NumTrajs,MaxReturn,MinReturn,LossAfter,KLBefore,KL,AverageDiscountedReturn,TotalEnvSteps
23.12492668245973,16.109352111816406,0.4469444751739502,1.5955584049224854,5.643416166305542,0.13958511508478288,-26.881632653061228,-0.16849476099014282,0,-0.0005027204751968384,490,9.9,-71.0,-0.16799204051494598,0.0,0.0019263012800365686,-13.537651570469018,30110
21.958156391162845,14.831167936325073,0.4050748348236084,1.591450810432434,5.163028955459595,0.09064489595090595,-26.591111111111115,-0.1677851527929306,1,4.857778549194336e-05,450,9.8,-72.0,-0.16783373057842255,0.0020525152795016766,0.002417308511212468,-12.96123118782447,60110
19.62971809339869,14.609648942947388,0.3951585292816162,1.58895742893219,5.052800416946411,0.1278823265101525,-25.389047619047624,-0.16539855301380157,2,0.0006478726863861084,420,9.9,-64.0,-0.16604642570018768,0.002555964281782508,0.002292474266141653,-12.287700218865913,90267
16.632567105310173,14.624766111373901,0.3944735527038574,1.580920696258545,5.06156849861145,0.12122361985765381,-29.126775956284156,-0.16573478281497955,3,0.001230865716934204,366,9.9,-61.99999999999999,-0.16696564853191376,0.002583602908998728,0.0028622401878237724,-13.639660393928128,120279
14.000188750308316,14.676891326904297,0.39595532417297363,1.5751254558563232,5.034189701080322,0.08861369334818728,-28.420114942528738,-0.1639871746301651,4,0.0014445334672927856,348,8.8,-53.0,-0.16543170809745789,0.0029517672955989838,0.0030929166823625565,-12.742158977383413,150460
12.52980894150931,14.757793664932251,0.3995189666748047,1.574183702468872,5.034928560256958,0.08540578802731842,-26.662352941176472,-0.16604457795619965,5,-0.0008550882339477539,340,7.699999999999999,-58.000000000000014,-0.1651894897222519,0.003197633195668459,0.003120179520919919,-11.87998902550386,180556
10.48464930898737,14.697561502456665,0.3957326412200928,1.5674574375152588,5.013695001602173,0.11026070265560822,-27.436419753086426,-0.16319501399993896,6,0.001294657588005066,324,9.1,-50.00000000000001,-0.16448967158794403,0.00334781501442194,0.00295787351205945,-12.178314686668019,210613
8.284973050663446,14.634305238723755,0.3930037021636963,1.5605567693710327,4.9693145751953125,0.12437691884209982,-26.715094339622645,-0.16332997381687164,7,0.0010467618703842163,318,5.1,-41.00000000000001,-0.16437673568725586,0.0030031667556613684,0.0030422979034483433,-11.963414902041416,240780
8.668839468716387,14.80547571182251,0.39804553985595703,1.5588347911834717,5.002110719680786,0.11182912031952584,-24.676875000000003,-0.16395215690135956,8,-0.0005606859922409058,320,9.9,-44.0,-0.16339147090911865,0.0031354152597486973,0.0033719707280397415,-11.015025637279265,270823
5.505247276569627,14.658070087432861,0.39876747131347656,1.5494722127914429,5.000873327255249,0.1436364801834031,-25.803947368421053,-0.16407844424247742,9,-0.0004021674394607544,304,6.199999999999999,-46.0,-0.16367627680301666,0.003474906785413623,0.0032541065011173487,-11.203273053210205,300825
5.9705242772347695,14.607926607131958,0.3920474052429199,1.5427391529083252,4.974861145019531,0.16397567848457925,-24.253896103896103,-0.16377030313014984,10,-0.0002299100160598755,308,9.9,-37.0,-0.16354039311408997,0.003161318600177765,0.0033427465241402388,-10.488517471027047,330946
5.060818673576511,14.719594240188599,0.39671778678894043,1.5356616973876953,4.980392694473267,0.1535994253481787,-22.568831168831167,-0.16246820986270905,11,6.67273998260498e-05,308,9.0,-31.000000000000004,-0.1625349372625351,0.003376319305971265,0.003871448803693056,-9.814111525282568,361142
2.3332818521494816,14.949613332748413,0.4040050506591797,1.529800534248352,5.055069208145142,0.17962958901991585,-22.637748344370863,-0.16318349540233612,12,4.8473477363586426e-05,302,-11.299999999999999,-30.000000000000007,-0.1632319688796997,0.003908449783921242,0.003345547243952751,-9.87726331607101,391325
3.9092908524227994,14.66773796081543,0.39403367042541504,1.5216069221496582,4.958683490753174,0.1649612810954034,-21.571710526315787,-0.16157683730125427,13,0.00026100873947143555,304,4.900000000000001,-33.00000000000001,-0.1618378460407257,0.003312562359496951,0.003108066273853183,-9.464467184576122,421344
1.9910780779857467,14.646080493927002,0.39177536964416504,1.5139564275741577,4.944262266159058,0.19501907353574005,-21.272185430463576,-0.16170765459537506,14,-5.5223703384399414e-05,302,-5.099999999999996,-28.000000000000004,-0.16165243089199066,0.0030248488765209913,0.0032243116293102503,-9.336618452599955,451495
2.0285504394084795,14.659729242324829,0.39597415924072266,1.5086809396743774,4.952654600143433,0.22338628438480412,-20.82847682119205,-0.16055546700954437,15,-0.0009271502494812012,302,-0.09999999999999964,-25.000000000000004,-0.15962831676006317,0.0031807729974389076,0.0031792183872312307,-9.01819771919603,481586
1.0392304845413272,14.575042009353638,0.39517688751220703,1.508955955505371,4.917530536651611,0.2697298209381244,-20.8,-0.15948103368282318,16,0.00032210350036621094,300,-20.0,-25.000000000000007,-0.1598031371831894,0.0031657840590924025,0.0034577795304358006,-9.034397915841215,511586
0.9410396142328741,14.593741178512573,0.38953590393066406,1.5060027837753296,4.918996810913086,0.20648602956632947,-20.566666666666666,-0.15910258889198303,17,-8.864700794219971e-05,300,-20.0,-26.000000000000007,-0.15901394188404083,0.0034794346429407597,0.0033782008104026318,-8.918853289603813,541586
0.8595864638818425,14.740573644638062,0.3939979076385498,1.503389596939087,4.944761037826538,0.169504877687075,-20.366666666666667,-0.1574491411447525,18,-0.00023080408573150635,300,-20.0,-27.000000000000004,-0.157218337059021,0.003401521360501647,0.003244261257350445,-8.84234292289397,571586
