LossAfter,dLoss,PolicyExecTime,NumTrajs,MinReturn,LossBefore,StdReturn,KL,TotalEnvSteps,EnvExecTime,AverageDiscountedReturn,GradNorm,Entropy,KLBefore,MaxReturn,AverageReturn,ProcessExecTime,Iteration
-0.17514868080615997,-0.0005329996347427368,7.235063791275024,320,-166.0,-0.1756816804409027,39.01911190365563,0.0012078650761395693,7665,4.587501764297485,-35.04218109631851,0.4946620531690762,1.5861459970474243,0.0,11.700000000000017,-65.31249999999999,0.15249204635620117,0
-0.17816120386123657,-0.005156680941581726,6.746831655502319,304,-138.99999999999997,-0.1833178848028183,36.190241028575244,0.001334924018010497,15171,4.46077036857605,-35.560671073236605,0.4019074581242378,1.5857038497924805,0.0012565026991069317,-3.0000000000000115,-69.25263157894736,0.1409623622894287,1
-0.1771668940782547,-0.002501741051673889,6.9034342765808105,320,-121.99999999999999,-0.1796686351299286,34.09120771914659,0.001317630521953106,22784,4.463090419769287,-30.764688337819017,0.3505972522230411,1.5835716724395752,0.0012863107258453965,21.600000000000005,-58.58249999999998,0.14370036125183105,2
-0.17820486426353455,-0.0025786608457565308,7.174246311187744,312,-123.99999999999999,-0.18078352510929108,30.77080850655815,0.0012208035914227366,30470,4.624629020690918,-31.069653690971382,0.3492460488876894,1.5817006826400757,0.0014084172435104847,2.000000000000014,-59.912820512820495,0.14401769638061523,3
-0.17754361033439636,-0.0019799917936325073,6.91294527053833,312,-139.99999999999997,-0.17952360212802887,25.852974018760918,0.0011935248039662838,38101,4.44482946395874,-29.526307737064226,0.308087126675296,1.5793285369873047,0.0012077207211405039,-13.299999999999985,-53.54102564102563,0.14419770240783691,4
-0.17723652720451355,0.003087252378463745,7.020242691040039,304,-124.99999999999999,-0.1741492748260498,33.15553845011264,0.0012455766554921865,45622,4.502607583999634,-27.87657570420992,0.37848231315794384,1.5772675275802612,0.001209937152452767,5.900000000000009,-56.502631578947366,0.1423170566558838,5
-0.1765865981578827,0.0005947351455688477,6.882065534591675,312,-106.0,-0.17599186301231384,28.70168564233422,0.001331373117864132,53265,4.3456244468688965,-24.425427993419746,0.37111394598068104,1.576077938079834,0.0012283034157007933,-3.0,-46.520512820512806,0.14339184761047363,6
-0.17796942591667175,0.002481430768966675,6.551498174667358,312,-120.0,-0.17548799514770508,36.403727294698065,0.0011801484506577253,60791,4.32606840133667,-25.961465633716212,0.34375301448637735,1.5744869709014893,0.001335964654572308,14.299999999999994,-50.630769230769225,0.13762474060058594,7
-0.17687374353408813,-0.007415995001792908,6.899055242538452,320,-139.0,-0.18428973853588104,36.8675764561491,0.0012098762672394514,68468,4.431942701339722,-23.255042472719374,0.39941960811615623,1.5731821060180664,0.001142430817708373,24.00000000000001,-46.66749999999998,0.1396634578704834,8
-0.17449645698070526,0.0032707005739212036,6.714259386062622,312,-100.99999999999997,-0.17122575640678406,31.320136756876202,0.0012895087711513042,76110,4.321600914001465,-24.138906210916517,0.42344889170803096,1.571947693824768,0.0012344631832093,19.300000000000026,-48.1076923076923,0.14019036293029785,9
-0.17703501880168915,-0.001743316650390625,6.819537401199341,312,-135.0,-0.17877833545207977,35.52743159577177,0.0011380799114704132,83758,4.407543182373047,-28.28289974857591,0.33785582909175044,1.568209171295166,0.0013164038537070155,21.000000000000004,-51.14871794871794,0.14226031303405762,10
-0.17640770971775055,0.00018940865993499756,6.503294944763184,320,-92.99999999999997,-0.17621830105781555,30.36210467013115,0.0010902943322435021,91324,4.193483352661133,-18.902237141310827,0.3890141284361734,1.5680519342422485,0.001085822586901486,32.300000000000004,-40.139999999999986,0.1375446319580078,11
-0.17838260531425476,0.002293333411216736,6.6661858558654785,304,-118.99999999999997,-0.17608927190303802,27.978870143650106,0.001180992810986936,98924,4.39568829536438,-21.841499699420456,0.4147115220002929,1.5679168701171875,0.0011475631035864353,5.000000000000018,-45.84210526315788,0.1392672061920166,12
-0.17707398533821106,-0.0004862099885940552,6.726876735687256,312,-85.99999999999997,-0.17756019532680511,23.57378138881805,0.0012110878014937043,106617,4.43538498878479,-19.46549337606314,0.4057360324682614,1.564620852470398,0.00117136025801301,31.600000000000016,-38.21282051282051,0.13906502723693848,13
-0.17774276435375214,0.0011946558952331543,6.68657112121582,312,-93.99999999999997,-0.17654810845851898,20.983259349122992,0.0012316731736063957,114267,4.405970096588135,-17.33604780105898,0.4631200982263627,1.5616626739501953,0.0012080466840416193,31.0,-37.435897435897424,0.13848638534545898,14
-0.17643210291862488,0.0019555091857910156,6.89667820930481,304,-89.99999999999997,-0.17447659373283386,23.95673226413868,0.0011585837928578258,121780,4.2035651206970215,-15.328730683813822,0.45056410164951116,1.5610743761062622,0.0012208340922370553,17.700000000000024,-34.139473684210515,0.13680028915405273,15
-0.17663659155368805,4.903972148895264e-05,6.704288959503174,304,-62.99999999999998,-0.1765875518321991,21.81667574861536,0.001102605601772666,129280,4.301392078399658,-11.61675166288114,0.46364903546086705,1.5603148937225342,0.0011467054719105363,30.20000000000001,-27.394736842105257,0.1373591423034668,16
-0.17511741816997528,-0.001996755599975586,6.704658031463623,304,-77.99999999999999,-0.17711417376995087,20.443896609679314,0.0013402575859799981,136880,4.330019950866699,-17.74554621960523,0.40472716632277,1.5570812225341797,0.0011622547172009945,-1.0,-36.68421052631578,0.13894224166870117,17
-0.17576587200164795,-0.0032280534505844116,6.865833044052124,312,-120.0,-0.17899392545223236,27.423475021384878,0.0010781589662656188,144438,4.362973928451538,-12.47965166938484,0.4009653804466902,1.5566738843917847,0.001297909882850945,19.79999999999999,-30.738461538461532,0.1395707130432129,18
