LossAfter,Entropy,PolicyExecTime,AverageDiscountedReturn,Iteration,EnvExecTime,AverageReturn,MinReturn,LossBefore,dLoss,NumTrajs,KLBefore,KL,GradNorm,TotalEnvSteps,ProcessExecTime,MaxReturn,StdReturn
-0.17700588703155518,1.5816776752471924,4.739626169204712,-34.9380202106266,0,4.468949317932129,-67.2076923076923,-129.99999999999997,-0.17063075304031372,0.006375133991241455,312,0.0,0.0013308029156178236,0.2232358358366698,7651,0.12434148788452148,-9.999999999999988,26.78460507518321
-0.17601284384727478,1.5787945985794067,4.659836530685425,-37.216690097404886,1,4.354791641235352,-73.00256410256408,-148.0,-0.1757756471633911,0.000237196683883667,312,0.0013547888956964016,0.0014039993984624743,0.23704820300641002,15242,0.10834813117980957,5.200000000000005,34.99065433599771
-0.1748822182416916,1.5780839920043945,4.624197483062744,-28.066833060317606,2,4.147553443908691,-59.57948717948717,-142.99999999999997,-0.17414844036102295,0.0007337778806686401,312,0.0013782158493995667,0.0012428635964170098,0.2549661892290189,22808,0.10758447647094727,34.599999999999994,39.122019371921674
-0.1750018298625946,1.575354814529419,4.579918622970581,-30.999204280242786,3,4.207012891769409,-62.69999999999999,-155.0,-0.17367513477802277,0.0013266950845718384,304,0.0013154969783499837,0.0014147264882922173,0.32087265192233094,30354,0.10832858085632324,-3.552713678800501e-15,37.1100497099328
-0.17451944947242737,1.574630618095398,4.594644784927368,-33.0115533741657,4,4.267148971557617,-67.87948717948716,-162.99999999999997,-0.17549684643745422,-0.0009773969650268555,312,0.0013916939496994019,0.0013212885241955519,0.30649601632592566,37967,0.10753679275512695,6.9,39.72519822601253
-0.17479854822158813,1.5726317167282104,4.5175909996032715,-30.351888240292684,5,4.230829954147339,-61.29230769230767,-124.99999999999999,-0.17356078326702118,0.0012377649545669556,312,0.0013419587630778551,0.0012512791436165571,0.2953321641559634,45571,0.10762834548950195,2.6000000000000156,35.604237608748164
-0.1756683886051178,1.5705403089523315,4.4411461353302,-33.292828921276644,6,4.208275556564331,-69.40263157894735,-136.99999999999997,-0.17491860687732697,0.0007497817277908325,304,0.00125533202663064,0.0013835704885423183,0.3270082348678208,53074,0.10569143295288086,10.19999999999999,34.24552592246717
-0.17538698017597198,1.5694233179092407,4.562872886657715,-22.890411292264798,7,4.106231451034546,-45.39473684210525,-131.99999999999997,-0.17487315833568573,0.0005138218402862549,304,0.001393706421367824,0.001445571193471551,0.3180448588096702,60664,0.10724282264709473,6.999999999999979,29.752080399337494
-0.17401622235774994,1.5670206546783447,4.535110712051392,-27.789943638128072,8,4.2738566398620605,-55.09230769230768,-116.99999999999999,-0.176012322306633,-0.0019960999488830566,312,0.0014528539031744003,0.0012483176542446017,0.24015991196561176,68260,0.10737419128417969,20.800000000000008,30.219966099994426
-0.17380447685718536,1.5612667798995972,4.510505676269531,-29.734222083729115,9,4.278082609176636,-58.20789473684209,-122.99999999999996,-0.1718919724225998,0.0019125044345855713,304,0.0012895857216790318,0.001404757029376924,0.28975049219522636,75859,0.10705423355102539,-7.999999999999994,25.979428922645976
-0.17413800954818726,1.5595529079437256,4.4248435497283936,-21.41583544941219,10,4.177772760391235,-46.47894736842104,-98.99999999999997,-0.1735631674528122,0.000574842095375061,304,0.0013709876220673323,0.0012750206515192986,0.28167942318793404,83381,0.10372662544250488,21.800000000000026,25.143861424073656
-0.17401935160160065,1.5574078559875488,4.396581411361694,-21.79250780142909,11,4.218024969100952,-44.63157894736841,-107.0,-0.17453329265117645,-0.0005139410495758057,304,0.0013267220929265022,0.0013007487868890166,0.28640384256550444,90981,0.1059274673461914,7.000000000000014,29.142500211195962
-0.17283199727535248,1.557930827140808,4.643230438232422,-10.928775122893136,12,4.169305801391602,-30.576923076923066,-108.99999999999997,-0.17372354865074158,-0.0008915513753890991,312,0.0012597318273037672,0.0011485142167657614,0.2955554314836511,98666,0.10814976692199707,14.000000000000014,29.186521841411846
-0.17474719882011414,1.5527541637420654,4.588440895080566,-21.72668039916753,13,4.159011602401733,-43.515789473684194,-106.99999999999997,-0.17866195738315582,-0.003914758563041687,304,0.0011806574184447527,0.0015266214031726122,0.2611464065817323,106202,0.10502934455871582,17.99999999999999,30.56635169521673
-0.17439746856689453,1.5517516136169434,4.505286693572998,-14.163476020142651,14,4.085740089416504,-34.89473684210525,-106.99999999999997,-0.17550687491893768,-0.0011094063520431519,304,0.0015267899725586176,0.0013298912672325969,0.30027284118883163,113762,0.10641908645629883,31.0,29.46879658722373
-0.17306527495384216,1.549584984779358,4.601086139678955,-14.630976384806996,15,4.129853010177612,-31.236842105263147,-74.0,-0.1732483059167862,-0.00018303096294403076,304,0.0013336826814338565,0.0012264442630112171,0.29662308030922896,121332,0.10748291015625,16.5,20.142497898886525
-0.17475540935993195,1.5510307550430298,4.446523427963257,-18.82807730462238,16,4.185264348983765,-38.26315789473683,-100.99999999999997,-0.17670248448848724,-0.0019470751285552979,304,0.0012630404671654105,0.0013576123164966702,0.3090837559722062,128932,0.10670900344848633,10.000000000000007,26.317578886530452
-0.17323175072669983,1.5512456893920898,4.714959144592285,-18.753714267375226,17,4.290173292160034,-37.94736842105262,-83.0,-0.16987459361553192,0.0033571571111679077,304,0.0013588241999968886,0.0012395852245390415,0.3500292690898157,136532,0.1055307388305664,8.000000000000004,25.1573441912894
