AverageReturn,KL,Iteration,KLBefore,GradNorm,ProcessExecTime,TotalEnvSteps,NumTrajs,PolicyExecTime,StdReturn,dLoss,Entropy,LossAfter,MaxReturn,LossBefore,EnvExecTime,AverageDiscountedReturn,MinReturn
-93.97692307692306,0.00132539973128587,0,0.0,0.21644449737702906,0.12129878997802734,7651,312,4.557088375091553,31.6772381399258,0.005704790353775024,1.581369400024414,-0.17701952159404755,-24.999999999999986,-0.17131473124027252,4.3201704025268555,-49.674196814167175,-169.99999999999997
-106.19230769230766,0.0012932048412039876,1,0.0013473733561113477,0.238942540316915,0.11006474494934082,15291,312,4.621204853057861,45.76128491682307,0.0009950995445251465,1.579113245010376,-0.1757858842611313,28.450000000000003,-0.17479078471660614,4.39238166809082,-53.60375646057522,-191.25
-110.57763157894733,0.0014696482103317976,2,0.0013104036916047335,0.2844115815418552,0.1287367343902588,22798,304,5.050774335861206,41.88685684041629,-0.0009187459945678711,1.5775947570800781,-0.1769055277109146,-38.74999999999999,-0.17782427370548248,5.0766496658325195,-57.952952698768264,-202.5
-100.65394736842104,0.0013881706399843097,3,0.0014781071804463863,0.24907205163808543,0.13100695610046387,30334,304,5.34820032119751,47.89007064097139,-0.0033589154481887817,1.5764691829681396,-0.17609575390815735,-17.499999999999993,-0.17945466935634613,5.188483953475952,-50.9544478592953,-212.5
-89.34210526315788,0.0015115110436454415,4,0.0014110216870903969,0.27925779137349827,0.10944938659667969,37934,304,4.627156972885132,38.10448848805464,-0.001086890697479248,1.5738435983657837,-0.17591248452663422,-26.24999999999999,-0.17699937522411346,4.422413110733032,-45.700544801287776,-213.75
-90.98589743589743,0.0013506191316992044,5,0.0014803862432017922,0.27312356079113065,0.13554906845092773,45606,312,5.173842430114746,45.65497690835361,-0.003961801528930664,1.5735857486724854,-0.17378224432468414,10.650000000000006,-0.1777440458536148,5.093508958816528,-44.60313130419582,-193.74999999999997
-105.12105263157893,0.0013860662002116442,6,0.0013711975188925862,0.26347394067298663,0.10792970657348633,53152,304,4.479663133621216,36.040055624517045,-0.0012551844120025635,1.5709948539733887,-0.17283719778060913,-38.499999999999986,-0.1740923821926117,4.45429253578186,-53.88919855370461,-210.0
-79.99473684210524,0.0014555996749550104,7,0.0013966098194941878,0.3545854341569246,0.131561279296875,60700,304,4.879692792892456,31.92638075461486,-0.0031098127365112305,1.5703421831130981,-0.17488297820091248,-4.799999999999988,-0.1779927909374237,4.845990896224976,-41.99544479896777,-145.0
-96.49473684210525,0.001422070199623704,8,0.0014718808233737946,0.2785301008080344,0.1078636646270752,68268,304,4.545148849487305,41.28236017687038,0.0026872754096984863,1.5657222270965576,-0.17693571746349335,-18.29999999999999,-0.17424844205379486,4.424116134643555,-48.98643283492477,-172.49999999999997
-69.06973684210526,0.0013483684742823243,9,0.0013938868651166558,0.3341024614222806,0.13051080703735352,75777,304,4.998648405075073,31.66471666555213,-0.0013556480407714844,1.5645720958709717,-0.17302541434764862,1.865174681370263e-14,-0.1743810623884201,5.095447540283203,-35.95505836719739,-140.0
-77.48947368421052,0.0013085450045764446,10,0.0013492938596755266,0.30750464862954785,0.10686969757080078,83373,304,4.351659774780273,31.476769123590714,0.0003700554370880127,1.5631238222122192,-0.1745358109474182,-26.25,-0.1741657555103302,4.3443989753723145,-40.810610166686146,-156.24999999999997
-67.49210526315788,0.0013130584266036749,11,0.0013276286190375686,0.30269853983377776,0.17063021659851074,90970,304,6.958811521530151,26.482845804098478,-0.003976985812187195,1.5614910125732422,-0.17306435108184814,-8.449999999999989,-0.17704133689403534,7.321980714797974,-31.930679707165233,-127.49999999999996
-60.243589743589745,0.0011863799300044775,12,0.0013021673075854778,0.26322228002557735,0.13363242149353027,98565,312,5.027899265289307,34.235530687762314,0.0006655305624008179,1.5608546733856201,-0.17300167679786682,25.94999999999999,-0.172336146235466,5.100576400756836,-32.15500144686693,-130.0
-65.23421052631578,0.0012901746667921543,13,0.001200967701151967,0.2722250384281369,0.10518646240234375,106129,304,4.296514272689819,37.48841944918169,0.000666886568069458,1.5563684701919556,-0.1733682006597519,-1.2499999999999947,-0.17270131409168243,4.232338190078735,-34.32825053996884,-166.24999999999997
-65.68157894736841,0.0015185476513579488,14,0.0012914839899167418,0.32452936682495803,0.11195755004882812,113688,304,4.408595085144043,30.962214707804556,-0.0006744414567947388,1.552818775177002,-0.1739622801542282,-8.749999999999991,-0.17463672161102295,4.442077398300171,-36.64013598421952,-142.50000000000003
-64.8153846153846,0.0013372946996241808,15,0.0015151906991377473,0.2638528423592579,0.1312704086303711,121366,312,5.334832191467285,29.99252503850591,0.0008424371480941772,1.5491334199905396,-0.1733032464981079,34.7,-0.17246080935001373,5.42439603805542,-32.975926808463655,-126.24999999999999
-51.80921052631578,0.0011983539443463087,16,0.0013230424374341965,0.2941951096700697,0.13107061386108398,128966,304,5.2899651527404785,26.698390586382672,0.0005441009998321533,1.5487290620803833,-0.17166069149971008,18.750000000000004,-0.17111659049987793,5.131589412689209,-26.76566326081497,-97.49999999999999
-61.74342105263157,0.0013637794181704521,17,0.0012058293214067817,0.3162428135227856,0.12397122383117676,136566,304,4.994608163833618,29.657501427598007,-0.0024673640727996826,1.5455958843231201,-0.1721491515636444,-11.24999999999998,-0.1746165156364441,5.137142896652222,-30.46619302941985,-113.75
-58.81578947368421,0.001286279410123825,18,0.0013795772101730108,0.30598079416547147,0.10309576988220215,144166,304,4.309143543243408,25.59802394013822,0.0014690160751342773,1.5438179969787598,-0.1716308742761612,-6.249999999999991,-0.17016185820102692,4.427145719528198,-30.216426371822283,-119.99999999999999
-53.361538461538444,0.0012733627809211612,19,0.0012621486093848944,0.2639401138932928,0.12326264381408691,151802,312,4.6283042430877686,32.3920741760698,-0.0013857632875442505,1.5423269271850586,-0.17140424251556396,24.650000000000013,-0.17279000580310822,4.762369871139526,-27.734573619735176,-138.75
-49.17763157894736,0.0013634576462209225,20,0.0013072850415483117,0.28524403683192234,0.10317659378051758,159402,304,4.279712438583374,24.53393915999571,0.0005329549312591553,1.5387667417526245,-0.17301730811595917,-13.749999999999986,-0.1724843531847,4.259184122085571,-25.602681365079615,-121.25
-46.41447368421051,0.0013668080791831017,21,0.0013453305000439286,0.3178924379291084,0.13282346725463867,167002,304,4.88465142250061,23.55908559763464,-0.00021123886108398438,1.5374010801315308,-0.17484159767627716,10.000000000000025,-0.17505283653736115,5.0013041496276855,-24.326598823029553,-103.74999999999997
-47.26973684210525,0.001152792596258223,22,0.0013658796669915318,0.31915890252816387,0.12430739402770996,174602,304,4.962049722671509,28.33634809948096,0.0021063387393951416,1.5332746505737305,-0.17042897641658783,7.50000000000002,-0.1683226376771927,5.139152765274048,-22.890170496672603,-107.5
-37.49871794871794,0.0011004508705809712,23,0.0011378847993910313,0.2707893251177571,0.13090968132019043,182289,312,5.163326025009155,24.200419807705092,0.0029063373804092407,1.5320851802825928,-0.16961948573589325,26.30000000000001,-0.166713148355484,5.152167081832886,-18.03863606574767,-98.75
-44.93421052631578,0.0012206496903672814,24,0.0011276486329734325,0.336150913455068,0.12280464172363281,189889,304,4.882251501083374,23.857008529060778,0.0025183260440826416,1.5299667119979858,-0.16987189650535583,1.4210854715202004e-14,-0.1673535704612732,5.018447399139404,-24.04127134497345,-98.74999999999997
-46.3486842105263,0.0011592046357691288,25,0.0012292510364204645,0.36497059061935866,0.1032567024230957,197489,304,4.18742823600769,26.294419777332845,-0.0033155083656311035,1.5292059183120728,-0.1707482486963272,16.249999999999996,-0.1740637570619583,4.357642412185669,-22.39446288686253,-112.49999999999997
-39.07894736842104,0.0012763406848534942,26,0.0011656484566628933,0.2750442896368653,0.13153910636901855,205089,304,4.8978800773620605,23.50756494021196,-0.0019932687282562256,1.52824866771698,-0.1713722050189972,13.750000000000028,-0.17336547374725342,5.025355339050293,-18.779339459728707,-84.99999999999997
-41.743421052631575,0.0013656046940013766,27,0.0012671430595219135,0.34294481279116146,0.12543892860412598,212689,304,5.0401880741119385,19.922835255359324,0.0029715895652770996,1.5257965326309204,-0.17352591454982758,3.750000000000014,-0.17055432498455048,5.10086727142334,-21.105442701809277,-82.5
