NumTrajs,MaxReturn,MinReturn,TotalEnvSteps,AverageReturn,StdReturn,KLBefore,LossAfter,LossBefore,AverageDiscountedReturn,Iteration,GradNorm,EnvExecTime,Entropy,dLoss,KL,PolicyExecTime,ProcessExecTime
348,15.400000000000002,-100.0,30045,-44.57183908045977,25.139115467789246,0.0,-0.16809076070785522,-0.16867198050022125,-21.25569157433811,0,0.07469803476466892,6.746419191360474,1.5877689123153687,-0.0005812197923660278,0.0031276349909603596,12.228883504867554,0.4008469581604004
336,13.700000000000001,-99.0,60122,-42.50416666666667,23.021173882419706,0.0033136424608528614,-0.1658104509115219,-0.16599179804325104,-20.125549389173802,1,0.07167792012241124,6.922238111495972,1.5811406373977661,-0.00018134713172912598,0.0024932422675192356,12.56838583946228,0.43001294136047363
324,17.700000000000003,-93.0,90166,-42.76172839506173,20.051332691162024,0.002588585251942277,-0.1658535897731781,-0.16551224887371063,-19.74414439872036,2,0.08142484144293169,6.537967920303345,1.5720620155334473,0.00034134089946746826,0.002773998538032174,11.622822999954224,0.3823835849761963
320,10.5,-86.99999999999999,120362,-38.916250000000005,17.60852381483184,0.002871562959626317,-0.1639544814825058,-0.16366247832775116,-17.85838144153225,3,0.08518464241484353,6.503653526306152,1.5644495487213135,0.00029200315475463867,0.0024876536335796118,11.489914655685425,0.376680850982666
326,12.500000000000002,-72.0,150524,-34.964417177914115,17.32747625158596,0.00247405213303864,-0.16331402957439423,-0.16351811587810516,-15.900367921643356,4,0.07828391377053708,6.725555658340454,1.5578944683074951,-0.0002040863037109375,0.00263877771794796,11.981049060821533,0.39594125747680664
314,8.900000000000006,-73.0,180716,-34.918471337579625,14.867678883073767,0.0027511813677847385,-0.16314223408699036,-0.1624927669763565,-15.61426764114616,5,0.06555202679204562,6.794690847396851,1.5463335514068604,0.0006494671106338501,0.0032234760001301765,12.050646305084229,0.40233349800109863
312,7.800000000000001,-67.00000000000001,210901,-33.79807692307692,12.39978531221225,0.003241191850975156,-0.1609702706336975,-0.16085566580295563,-15.235671038667714,6,0.07377746809583209,7.000767707824707,1.5384854078292847,0.00011460483074188232,0.003051041392609477,12.385899782180786,0.404799222946167
308,7.8,-60.0,240924,-31.89155844155845,12.24976517823543,0.0030151517130434513,-0.1605762094259262,-0.16149920225143433,-14.163919904835415,7,0.06930063479476224,6.151333808898926,1.53737473487854,-0.0009229928255081177,0.003346627112478018,10.8688383102417,0.35311174392700195
310,13.100000000000001,-65.0,270966,-30.510967741935488,11.983992375540964,0.003346618264913559,-0.16021302342414856,-0.16125862300395966,-13.582104283792857,8,0.09003484581858355,6.157182693481445,1.5314067602157593,-0.0010455995798110962,0.0026261459570378065,10.892040729522705,0.3543839454650879
308,12.2,-77.0,301104,-30.75194805194805,12.959458366002744,0.002682361053302884,-0.1593501716852188,-0.1591043472290039,-14.207570320840825,9,0.06763315959818765,7.467931747436523,1.5244946479797363,0.0002458244562149048,0.0029465535189956427,13.094294309616089,0.4358232021331787
306,8.399999999999999,-55.0,331139,-28.702614379084967,10.59222768272421,0.0029410046990960836,-0.1595589965581894,-0.15817338228225708,-12.883067623204717,10,0.09160225874152858,7.884242057800293,1.5195913314819336,0.001385614275932312,0.003159532556310296,13.825425624847412,0.45777416229248047
302,-10.999999999999996,-69.99999999999999,361330,-29.205960264900664,8.622396770309651,0.00324747315607965,-0.16022349894046783,-0.15809062123298645,-13.518598268355182,11,0.0880410139983903,7.318066358566284,1.5166014432907104,0.0021328777074813843,0.003773920238018036,12.99806022644043,0.43120384216308594
306,14.399999999999999,-64.0,391376,-29.383006535947715,10.657991514239649,0.0037648403085768223,-0.15842588245868683,-0.1576295793056488,-13.157972514237969,12,0.08069426609041155,6.928390026092529,1.5097509622573853,0.0007963031530380249,0.0032712197862565517,12.125361680984497,0.4006938934326172
308,15.899999999999999,-63.0,421563,-25.933116883116885,9.899823264818925,0.003271152963861823,-0.15773338079452515,-0.1577380746603012,-11.84306240576382,13,0.08593894357946004,7.15332555770874,1.5106770992279053,-4.693865776062012e-06,0.0027773368638008833,12.52839732170105,0.41950273513793945
302,3.100000000000005,-55.0,451605,-27.01456953642384,7.6753962932482995,0.0028923777863383293,-0.15655803680419922,-0.15526080131530762,-12.369658092930583,14,0.0710679806244174,7.2236998081207275,1.4981813430786133,0.0012972354888916016,0.002700592391192913,12.597774505615234,0.4197509288787842
302,-2.899999999999995,-64.0,481607,-26.90198675496689,7.1973364296761755,0.0027187380474060774,-0.15722183883190155,-0.15635985136032104,-12.346898386030452,15,0.10352732391698631,7.261926651000977,1.4918755292892456,0.0008619874715805054,0.0032842587679624557,12.582595109939575,0.4238429069519043
302,-1.0000000000000036,-50.99999999999999,511707,-25.24503311258278,6.303543508257318,0.0032892455346882343,-0.15674589574337006,-0.1567351222038269,-11.585813703431265,16,0.12256405168940883,7.396584987640381,1.4820318222045898,1.0773539543151855e-05,0.0033989150542765856,12.729252338409424,0.43138718605041504
304,8.0,-69.99999999999999,541811,-25.186842105263157,7.359765122561982,0.0033883824944496155,-0.15588930249214172,-0.15633687376976013,-11.795583970449245,17,0.10223817469320322,7.176533460617065,1.4735380411148071,-0.0004475712776184082,0.0029453029856085777,12.459742546081543,0.4224836826324463
300,-10.999999999999996,-56.0,571811,-23.74,5.743901113354931,0.0029006521217525005,-0.15482701361179352,-0.15460295975208282,-10.982917701633143,18,0.11697701850814743,7.392947196960449,1.464035987854004,0.00022405385971069336,0.0027521911542862654,12.840786933898926,0.42876410484313965
302,12.6,-43.0,601845,-22.280794701986757,5.420255305829174,0.002751946449279785,-0.15466436743736267,-0.15512095391750336,-10.01139520504033,19,0.09930386912937467,6.756601572036743,1.4571382999420166,-0.00045658648014068604,0.003167386632412672,11.67641019821167,0.37795472145080566
302,-1.0,-52.0,631875,-22.172185430463575,5.263596823017929,0.0030969753861427307,-0.1545390486717224,-0.1531648337841034,-10.229885292520647,20,0.10518534575762405,6.369248390197754,1.4514837265014648,0.0013742148876190186,0.0033949175849556923,10.964054346084595,0.35581183433532715
300,-9.999999999999996,-63.99999999999999,661875,-22.126666666666665,5.378099623059763,0.0034707190934568644,-0.15269525349140167,-0.152390718460083,-10.226252553395485,21,0.08406158892361307,6.500264406204224,1.451107382774353,0.00030453503131866455,0.0028101883362978697,11.357143640518188,0.3653862476348877
302,17.0,-46.99999999999999,691885,-22.178807947019866,5.115987268487635,0.002774068620055914,-0.15183958411216736,-0.15220963954925537,-10.0603465684816,22,0.10164626971984815,6.578413963317871,1.4435769319534302,-0.0003700554370880127,0.0026824974920600653,11.24285626411438,0.36510705947875977
300,-9.999999999999996,-36.000000000000014,721885,-21.446666666666665,3.6469835328513485,0.0026754860300570726,-0.1508997529745102,-0.1486395001411438,-9.660037902078082,23,0.07940946162760691,6.339821815490723,1.4365246295928955,0.002260252833366394,0.002879933686926961,10.97954249382019,0.35352134704589844
300,-10.999999999999996,-34.00000000000001,751885,-21.08,3.2445235911198647,0.0028622194658964872,-0.15052753686904907,-0.1512770801782608,-9.34350970403642,24,0.10897659670313686,6.48958683013916,1.4313346147537231,-0.000749543309211731,0.0029443823732435703,11.187596797943115,0.3650839328765869
302,13.700000000000003,-30.000000000000007,781908,-20.3794701986755,3.9775415529448943,0.002892667194828391,-0.15053117275238037,-0.15087056159973145,-8.90543110041569,25,0.11164940297891929,6.469954967498779,1.431762456893921,-0.0003393888473510742,0.003127967705950141,11.15404987335205,0.3614988327026367
