AverageReturn,Entropy,StdReturn,PolicyExecTime,EnvExecTime,MinReturn,NumTrajs,ProcessExecTime,MaxReturn,LossBefore,TotalEnvSteps,AverageDiscountedReturn,LossAfter,KLBefore,KL,Iteration,dLoss,GradNorm
-16.340816326530614,1.5948481559753418,17.011769255758264,15.059141874313354,5.274728775024414,-45.500000000000014,490,0.4083518981933594,9.9,-0.16734234988689423,30110,-8.19810661806706,-0.16663041710853577,0.0,0.0018154204590246081,0,-0.0007119327783584595,0.12288849624842327
-16.53836206896552,1.593998670578003,16.51438878591498,15.057399034500122,5.267648220062256,-44.50000000000001,464,0.41640710830688477,9.8,-0.16502584517002106,60234,-8.144656825651486,-0.16627199947834015,0.0019155694171786308,0.001929022721014917,1,0.0012461543083190918,0.09556362455165325
-16.205701754385966,1.5959328413009644,16.01005476114649,16.440977573394775,5.6979522705078125,-45.00000000000001,456,0.46154308319091797,9.8,-0.16325439512729645,90353,-7.946806924238211,-0.16566619277000427,0.0019629669841378927,0.0024408919271081686,2,0.0024117976427078247,0.09635973119190125
-15.66952789699571,1.5943268537521362,16.127250636169823,14.852299690246582,5.171459674835205,-43.00000000000001,466,0.40624165534973145,9.9,-0.16324928402900696,120378,-7.810331430187491,-0.1659730225801468,0.0024729780852794647,0.0018693588208407164,3,0.0027237385511398315,0.11621584036713435
-15.817543859649126,1.59122896194458,15.511830491448933,14.866480588912964,5.161407947540283,-44.00000000000001,456,0.4037349224090576,9.9,-0.16509269177913666,150402,-7.906693856524221,-0.16568009555339813,0.001931732869707048,0.0023582212161272764,4,0.0005874037742614746,0.10217090344178083
-14.861702127659576,1.588958978652954,15.38066143047599,14.924621820449829,5.176147222518921,-47.50000000000001,470,0.4055912494659424,9.9,-0.16625745594501495,180452,-7.279215191177181,-0.16620422899723053,0.0023530798498541117,0.002004449488595128,5,-5.322694778442383e-05,0.10591232940740229
-15.08101265822785,1.5844992399215698,15.869050705147433,14.980715036392212,5.20635724067688,-47.000000000000014,474,0.40988659858703613,9.700000000000001,-0.1644509881734848,210564,-7.571124721794868,-0.16581980884075165,0.0020168826449662447,0.0020808465778827667,6,0.0013688206672668457,0.10248807203254924
-14.940692640692644,1.5840662717819214,15.556348836749534,14.97307014465332,5.192249774932861,-47.0,462,0.41059327125549316,9.9,-0.16479313373565674,240592,-7.279963935298977,-0.16483812034130096,0.0021234580781310797,0.0020258924923837185,7,4.4986605644226074e-05,0.08079008604449485
-12.461811023622047,1.5832738876342773,15.3425351269524,14.942867040634155,5.172001838684082,-44.00000000000001,508,0.40659451484680176,9.9,-0.1647498607635498,270685,-6.082184363028266,-0.16456621885299683,0.0018672740552574396,0.002068468602374196,8,-0.00018364191055297852,0.12596449472983587
-12.014232209737829,1.5818662643432617,15.718097815649749,15.130175590515137,5.2460808753967285,-46.50000000000001,534,0.40921950340270996,9.9,-0.1639167219400406,300843,-5.836644937565767,-0.16418147087097168,0.0019942899234592915,0.001940345042385161,9,0.0002647489309310913,0.10745327377690847
-10.597894736842107,1.5819216966629028,15.538106947041253,16.178223133087158,5.659485816955566,-48.0,570,0.4587371349334717,9.9,-0.16169744729995728,330847,-5.443298469087132,-0.16399477422237396,0.001853357651270926,0.0015554252313449979,10,0.002297326922416687,0.10750883506632974
-9.868456375838928,1.5826174020767212,14.911589957710376,15.40821361541748,5.419451713562012,-46.50000000000001,596,0.43224430084228516,9.9,-0.1637060046195984,360855,-5.092207214364605,-0.1630081981420517,0.0014876832719892263,0.0014909589663147926,11,-0.0006978064775466919,0.09981280081846335
-7.527134146341465,1.5797700881958008,13.445947402209352,14.933587789535522,5.2451653480529785,-55.5,656,0.40265345573425293,9.9,-0.1640368103981018,390999,-4.4689829874851545,-0.16445103287696838,0.0013959448551759124,0.0016070337733253837,12,0.00041422247886657715,0.12408892632482776
-6.048275862068968,1.5809223651885986,13.752546075274477,15.01665472984314,5.27595067024231,-43.50000000000001,754,0.41394901275634766,9.9,-0.16200922429561615,421021,-3.28047133763552,-0.1628875732421875,0.001408881857059896,0.0013091163709759712,13,0.0008783489465713501,0.1029621972040833
-3.426997840172787,1.579170823097229,11.813240048652172,15.02267861366272,5.321981430053711,-45.50000000000001,926,0.40943098068237305,9.9,-0.1632404625415802,451108,-2.136255095974949,-0.1638592779636383,0.0011690504616126418,0.0010444567305967212,14,0.0006188154220581055,0.13771558406439416
-2.0398076923076927,1.5774720907211304,10.63278547164828,14.863994598388672,5.293379545211792,-43.00000000000001,1040,0.405651330947876,9.9,-0.1628057360649109,481205,-1.2869493535387706,-0.16365006566047668,0.0009336969815194607,0.0010548561112955213,15,0.0008443295955657959,0.14685413310896198
0.030803571428571135,1.5760127305984497,8.990199058762702,14.845375776290894,5.346038103103638,-51.00000000000001,1344,0.40492773056030273,9.9,-0.16380544006824493,511218,-0.01586713198116822,-0.16336704790592194,0.0008456596988253295,0.0010787197388708591,16,-0.00043839216232299805,0.18427663315862056
1.350546780072904,1.5720181465148926,7.667950790423792,15.722641229629517,5.7024760246276855,-39.5,1646,0.44354915618896484,9.9,-0.16282588243484497,541218,0.9255380732105788,-0.1617991328239441,0.000933314673602581,0.0011168088531121612,17,-0.001026749610900879,0.1884871712429424
3.0437328453796897,1.5675140619277954,5.927425485918569,14.858528137207031,5.472324371337891,-28.60000000000001,2186,0.4095282554626465,9.9,-0.1613711714744568,571220,2.3043374018279086,-0.16169820725917816,0.000957792392000556,0.001122370595112443,18,0.0003270357847213745,0.1963304584870519
